,facility_code,facility_type,facility_name,open_pending,nice_name,latitude,longitude,type,securityType,addr1,addr2,city,state,zip,pop_total,lat_adj,long_adj
0,CAC,C,ADAMS COUNTY CORR CTR CCM,P,Adams County Correctional Center CCM,,,,,,,,,,,,
1,CAT,C,ATLANTA CCM,O,Atlanta CCM,33.71188173364292,-84.3639063835144,RRM,N/A,719 MCDONOUGH BLVD S.E.,,ATLANTA,GA,30315,,33.71188173364292,-84.3639063835144
2,CBR,C,BALTIMORE CCM,O,Baltimore CCM,39.12027227440838,-76.77684903144836,RRM,N/A,"400 FIRST STREET, NW",5TH FLOOR,WASHINGTON,MD,20534,,39.12027227440838,-76.77484903144837
3,CBS,C,BIG SPRING CCM,P,Big Spring CCM,,,,,,,,,,,,
4,CBN,C,BOSTON CCM,O,Boston CCM,,,,,,,,,,,,
5,CCF,C,CALIFORNIA CITY CCM,P,California City CCM,,,,,,,,,,,,
6,CCH,C,CHICAGO CCM,O,Chicago CCM,41.879379047907044,-87.63412535190582,RRM,N/A,"1901 BUTTERFIELD ROAD, SUITE",130,DOWNERS GROVE,IL,60515,,41.879379047907044,-87.63412535190582
7,CCB,C,CIBOLA COUNTY CCM,P,Cibola County CCM,,,,,,,,,,,,
8,CCN,C,CINCINNATI CCM,O,Cincinnati CCM,39.10385710591814,-84.51236665248871,RRM,N/A,"36 E. 7TH ST., SUITE 2107-A",,CINCINNATI,OH,45202,,39.10385710591814,-84.51236665248871
9,CRJ,C,D. RAY JAMES CORR FCL CCM,P,D. Ray James Correctional Facility CCM,,,,,,,,,,,,
10,CDL,C,DALBY CCM,P,Dalby CCM,,,,,,,,,,,,
11,CDA,C,DALLAS CCM,O,Dallas CCM,32.812670070909164,-96.81384086608887,RRM,N/A,US ARMED FORCES RESERVE CMPL,344 MARINE FORCES DR,GRAND PRAIRIE,TX,75051,,32.812670070909164,-96.81384086608887
12,CDE,C,DENVER CCM,O,Denver CCM,,,,,,,,,,,,
13,CDT,C,DETROIT CCM,O,Detroit CCM,42.09890703288096,-83.66957902908325,RRM,N/A,4026 E. ARKONA RD.,,MILAN,MI,48160,,42.09890703288096,-83.66957902908325
14,CDC,C,DIST OF COLUMBIA CCM,O,District of Columbia CCM,,,,,,,,,,,,
15,CED,C,EDEN CCM,P,Eden CCM,,,,,,,,,,,,
16,CEP,C,EL PASO CCM,O,El Paso CCM,,,,,,,,,,,,
17,CGP,C,GREAT PLAINS CCM,P,Great Plains CCM,,,,,,,,,,,,
18,CHN,C,HOUSTON CCM,O,Houston CCM,,,,,,,,,,,,
19,CKC,C,KANSAS CITY CCM,O,Kansas City CCM,39.11654316704711,-94.61968660354614,RRM,N/A,"400 STATE AVE., RM 131",,KANSAS CITY,KS,66101,,39.11654316704711,-94.61968660354614
20,CLI,C,LIMESTONE CCM,P,Limestone CCM,,,,,,,,,,,,
