code,primary_num,primary_desc,secondary_alpha,secondary_desc,,clear_categories
10A,10,TRANSFER - REQUEST/OBJECTION,A,TRANSFER FOR PROTECTION REASONS,,TRANSFER - REQUEST/OBJECTION
10B,10,TRANSFER - REQUEST/OBJECTION,B,TRANSFER FOR MEDICAL REASONS,,TRANSFER - REQUEST/OBJECTION
10C,10,TRANSFER - REQUEST/OBJECTION,C,TRANSFER FOR RELEASE DESTINATION,,TRANSFER - REQUEST/OBJECTION
10D,10,TRANSFER - REQUEST/OBJECTION,D,TRANSFER FOR PROGRAM PARTICIPATION,,TRANSFER - REQUEST/OBJECTION
10Z,10,TRANSFER - REQUEST/OBJECTION,Z,TRANSFER - OTHER,,TRANSFER - REQUEST/OBJECTION
11A,11,"EDUCATION, RECREATION, LEISURE",A,ADULT BASIC EDUCATION (ABE),,"EDUCATION, RECREATION, LEISURE"
11B,11,"EDUCATION, RECREATION, LEISURE",B,SECONDARY EDUCATION (GED),,"EDUCATION, RECREATION, LEISURE"
11C,11,"EDUCATION, RECREATION, LEISURE",C,POST-SECONDARY EDUCATION (PSE),,"EDUCATION, RECREATION, LEISURE"
11D,11,"EDUCATION, RECREATION, LEISURE",D,VOCATIONAL TRAINING,,"EDUCATION, RECREATION, LEISURE"
11E,11,"EDUCATION, RECREATION, LEISURE",E,LIBRARY SERVICES (EXCEPT LAW LIBRARY),,"EDUCATION, RECREATION, LEISURE"
11F,11,"EDUCATION, RECREATION, LEISURE",F,INMATE ORGANIZATIONS,,"EDUCATION, RECREATION, LEISURE"
11G,11,"EDUCATION, RECREATION, LEISURE",G,"RECREATION, LEISURE ACTIVITIES",,"EDUCATION, RECREATION, LEISURE"
11Z,11,"EDUCATION, RECREATION, LEISURE",Z,EDUCATION - OTHER,,"EDUCATION, RECREATION, LEISURE"
12A,12,WORK ASSIGNMENTS,A,"UNICOR - ASSIGNMENT, WORKING CONDITIONS",,WORK ASSIGNMENTS
12B,12,WORK ASSIGNMENTS,B,"UNICOR - GRADE, PAY, PROMOTION, BENEFITS",,WORK ASSIGNMENTS
12C,12,WORK ASSIGNMENTS,C,UNICOR - WAITING LIST,,WORK ASSIGNMENTS
12D,12,WORK ASSIGNMENTS,D,"INSTITUTION JOB - ASSIGNMENT, JOB COMPLAINT",,WORK ASSIGNMENTS
12E,12,WORK ASSIGNMENTS,E,"PERFORMANCE PAY, MGT., BENEFITS",,WORK ASSIGNMENTS
12Y,12,WORK ASSIGNMENTS,Y,UNICOR WORK ASSIGNMENT - OTHER,,WORK ASSIGNMENTS
12Z,12,WORK ASSIGNMENTS,Z,INSTITUTION WORK ASSIGNMENT - OTHER,,WORK ASSIGNMENTS
13A,13,CLASSIFICATION MATTERS,A,CLASSIFICATION/PROGRAM REVIEWS,,CLASSIFICATION MATTERS
13B,13,CLASSIFICATION MATTERS,B,SECURITY/CUSTODY CLASSIFICATION - EXCEPT PSF APPEALS,,CLASSIFICATION MATTERS
13C,13,CLASSIFICATION MATTERS,C,CENTRAL INMATE MONITORING - SEPARATION,,CLASSIFICATION MATTERS
13D,13,CLASSIFICATION MATTERS,D,CENTRAL INMATE MONITORING - EXCEPT SEPARATION,,CLASSIFICATION MATTERS
13E,13,CLASSIFICATION MATTERS,E,PROGRESS REPORTS,,CLASSIFICATION MATTERS
13F,13,CLASSIFICATION MATTERS,F,RESTORATION OF STATUTORY GOOD TIME,,CLASSIFICATION MATTERS
13G,13,CLASSIFICATION MATTERS,G,COMPASSIONATE RELEASE REQUEST,,CLASSIFICATION MATTERS
13H,13,CLASSIFICATION MATTERS,H,HOUSING ASSIGNMENT (EXCEPT SPECIAL HOUSING UNITS),,CLASSIFICATION MATTERS
13I,13,CLASSIFICATION MATTERS,I,PUBLIC SAFETY FACTOR APPEALS,,CLASSIFICATION MATTERS
13J,13,CLASSIFICATION MATTERS,J,WALSH ACT CLASSIFICATION,,CLASSIFICATION MATTERS
13K,13,CLASSIFICATION MATTERS,K,INITIAL DESIGNATION DECISION,,CLASSIFICATION MATTERS
13L,13,CLASSIFICATION MATTERS,L,COMPASSIONATE RELEASE REQUEST - OTHER/NON-MEDICAL,,CLASSIFICATION MATTERS
13Z,13,CLASSIFICATION MATTERS,Z,OTHER CLASSIFICATION MATTERS,,CLASSIFICATION MATTERS
14A,14,CONTROL UNIT,A,CONTROL UNIT PLACEMENT,,CONTROL UNIT
14B,14,CONTROL UNIT,B,CONTROL UNIT REVIEWS,,CONTROL UNIT
14C,14,CONTROL UNIT,C,CONTROL UNIT RELEASE,,CONTROL UNIT
14G,14,CONTROL UNIT,G,ADX GENERAL POPULATION – INITIAL PLACEMENT,,CONTROL UNIT
14H,14,CONTROL UNIT,H,SECURE MENTAL HEALTH UNIT/STEP DOWN PROGRAM,,CONTROL UNIT
14Z,14,CONTROL UNIT,Z,CONTROL UNIT - OTHER,,CONTROL UNIT
15A,15,"PROGRAMS, INSTITUTION",A,INMATE FINANCIAL RESPONSIBILITY,,"PROGRAMS, INSTITUTION"
15B,15,"PROGRAMS, INSTITUTION",B,RELIGIOUS PROGRAMS (EXCEPT FOOD/DIETS/MEALS) - ACCESS TO,,"PROGRAMS, INSTITUTION"
15C,15,"PROGRAMS, INSTITUTION",C,RELIGIOUS DIET: CERTIFIED/NON-FLESH ALTERNATIVES - ACCESS TO,,"PROGRAMS, INSTITUTION"
15D,15,"PROGRAMS, INSTITUTION",D,SUBSTANCE ABUSE PROGRAMS,,"PROGRAMS, INSTITUTION"
15E,15,"PROGRAMS, INSTITUTION",E,RESEARCH/GENETIC TESTING PROGRAMS,,"PROGRAMS, INSTITUTION"
15F,15,"PROGRAMS, INSTITUTION",F,SPECIAL CONFINEMENT UNIT,,"PROGRAMS, INSTITUTION"
15G,15,"PROGRAMS, INSTITUTION",G,RELIGIOUS RITUALS,,"PROGRAMS, INSTITUTION"
15H,15,"PROGRAMS, INSTITUTION",H,COMMUNICATION MANAGEMENT  UNIT,,"PROGRAMS, INSTITUTION"
15I,15,"PROGRAMS, INSTITUTION",I,SPECIAL MANAGEMENT UNIT,,"PROGRAMS, INSTITUTION"
15Z,15,"PROGRAMS, INSTITUTION",Z,OTHER INSTITUTION PROGRAMS,,"PROGRAMS, INSTITUTION"
16A,16,MAIL COMMUNICATION,A,INCOMING PUBLICATIONS (INCL. REJECTION OR CONFISCATION),,MAIL COMMUNICATION
16B,16,MAIL COMMUNICATION,B,CORRESPONDENCE - REJECTION OR CONFISCATION,,MAIL COMMUNICATION
16C,16,MAIL COMMUNICATION,C,"PACKAGES - APPROVAL, DENIAL, REJECTION, ETC.",,MAIL COMMUNICATION
16D,16,MAIL COMMUNICATION,D,"ENCLOSURES - APPROVAL, REJECTION, CONFISCATION, ETC.",,MAIL COMMUNICATION
16E,16,MAIL COMMUNICATION,E,RESTRICTED MAIL,,MAIL COMMUNICATION
16F,16,MAIL COMMUNICATION,F,POSTAGE,,MAIL COMMUNICATION
16G,16,MAIL COMMUNICATION,G,TRULINCS,,MAIL COMMUNICATION
16Z,16,MAIL COMMUNICATION,Z,OTHER MAIL COMPLAINTS,,MAIL COMMUNICATION
17A,17,COMMUNICATION-OTHER THAN MAIL,A,PHONE CALLS (EXCEPT LEGAL CALLS),,COMMUNICATION-OTHER THAN MAIL
17B,17,COMMUNICATION-OTHER THAN MAIL,B,MARRIAGE,,COMMUNICATION-OTHER THAN MAIL
17C,17,COMMUNICATION-OTHER THAN MAIL,C,NEWS MEDIA CONTACTS,,COMMUNICATION-OTHER THAN MAIL
17L,17,COMMUNICATION-OTHER THAN MAIL,L,PHONE CALLS - 300 MIN. LIMITATION CONCERNS,,COMMUNICATION-OTHER THAN MAIL
17Z,17,COMMUNICATION-OTHER THAN MAIL,Z,OTHER NON-MAIL COMMUNICATION,,COMMUNICATION-OTHER THAN MAIL
18A,18,VISITING,A,VISITING LIST,,VISITING
18B,18,VISITING,B,VISITING TIME AND CONDITIONS,,VISITING
18C,18,VISITING,C,VISIT RELATED SEARCHES,,VISITING
18D,18,VISITING,D,ION SPECTROMETRY PROGRAM,,VISITING
18Z,18,VISITING,Z,OTHER VISITING COMPLAINTS,,VISITING
19A,19,COMMUNITY/PRE-RELEASE PROGRAMS,A,FURLOUGHS - SOCIAL,,COMMUNITY/PRE-RELEASE PROGRAMS
19B,19,COMMUNITY/PRE-RELEASE PROGRAMS,B,FURLOUGHS - OTHER,,COMMUNITY/PRE-RELEASE PROGRAMS
19C,19,COMMUNITY/PRE-RELEASE PROGRAMS,C,WORK/STUDY RELEASE,,COMMUNITY/PRE-RELEASE PROGRAMS
19D,19,COMMUNITY/PRE-RELEASE PROGRAMS,D,ESCORTED TRIPS,,COMMUNITY/PRE-RELEASE PROGRAMS
19E,19,COMMUNITY/PRE-RELEASE PROGRAMS,E,"RELEASE PLANS - APPROVAL, GRATUITY, SUPERVISION",,COMMUNITY/PRE-RELEASE PROGRAMS
19F,19,COMMUNITY/PRE-RELEASE PROGRAMS,F,RESIDENTIAL REENTRY CENTER REFERRALS,,COMMUNITY/PRE-RELEASE PROGRAMS
19G,19,COMMUNITY/PRE-RELEASE PROGRAMS,G,CORRECTIONS COMPONENT ISSUES,,COMMUNITY/PRE-RELEASE PROGRAMS
19H,19,COMMUNITY/PRE-RELEASE PROGRAMS,H,ELDERLY OFFENDER HOME DETENTION PROGRAM,,COMMUNITY/PRE-RELEASE PROGRAMS
19Z,19,COMMUNITY/PRE-RELEASE PROGRAMS,Z,OTHER COMMUNITY PROGRAMS,,COMMUNITY/PRE-RELEASE PROGRAMS
20A,20,DHO/CDC/CONT. HOUSING APPEALS,A,DHO APPEAL - PROCEDURES,,DHO/CDC/CONT. HOUSING APPEALS
20B,20,DHO/CDC/CONT. HOUSING APPEALS,B,DHO APPEAL - EVIDENCE,,DHO/CDC/CONT. HOUSING APPEALS
20C,20,DHO/CDC/CONT. HOUSING APPEALS,C,DHO APPEAL - SANCTION,,DHO/CDC/CONT. HOUSING APPEALS
20D,20,DHO/CDC/CONT. HOUSING APPEALS,D,"DHO APPEAL - COMBINED (PROCEDURES, EVIDENCE & SANCTIONS)",,DHO/CDC/CONT. HOUSING APPEALS
20E,20,DHO/CDC/CONT. HOUSING APPEALS,E,CONTRACT COMM. CORR. CTR. DISCIPLINE - MAJOR SANCTIONS,,DHO/CDC/CONT. HOUSING APPEALS
20F,20,DHO/CDC/CONT. HOUSING APPEALS,F,CONTROLLED HOUSING STATUS APPEAL,,DHO/CDC/CONT. HOUSING APPEALS
20G,20,DHO/CDC/CONT. HOUSING APPEALS,G,DHO APPEAL - CODE 108 CELL PHONE POSS/ELECTRONIC DEVICE,,DHO/CDC/CONT. HOUSING APPEALS
20Z,20,DHO/CDC/CONT. HOUSING APPEALS,Z,OTHER DHO RELATED MATTERS,,DHO/CDC/CONT. HOUSING APPEALS
21A,21,UDC/RRC ACTIONS,A,UDC ACTION,,UDC/RRC ACTIONS
21B,21,UDC/RRC ACTIONS,B,CONTRACT COMM. CORR. CTR. DISCIPLINE - MINOR SANCTIONS,,UDC/RRC ACTIONS
22A,22,SPECIAL HOUSING UNITS,A,"ADMINISTRATIVE DETENTION - PLACEMENT, REVIEWS, RELEASE",,SPECIAL HOUSING UNITS
22B,22,SPECIAL HOUSING UNITS,B,ADMINISTRATIVE DETENTION - REQUEST PLACEMENT FOR PROTECTION,,SPECIAL HOUSING UNITS
22C,22,SPECIAL HOUSING UNITS,C,ADMINISTRATIVE DETENTION CONDITIONS,,SPECIAL HOUSING UNITS
22D,22,SPECIAL HOUSING UNITS,D,"DISCIPLINARY SEGREGATION - RELEASE, CONDITIONS, ETC.",,SPECIAL HOUSING UNITS
22E,22,SPECIAL HOUSING UNITS,E,EXCESSIVE USE OF FORCE - FORCED CELL MOVES,,SPECIAL HOUSING UNITS
22Z,22,SPECIAL HOUSING UNITS,Z,OTHER SPECIAL HOUSING UNIT MATTERS,,SPECIAL HOUSING UNITS
23A,23,SEARCHES AND USE OF RESTRAINTS,A,PAT SEARCHES,,SEARCHES AND USE OF RESTRAINTS
23B,23,SEARCHES AND USE OF RESTRAINTS,B,VISUAL (STRIP) SEARCHES,,SEARCHES AND USE OF RESTRAINTS
23C,23,SEARCHES AND USE OF RESTRAINTS,C,QUARTERS SEARCHES,,SEARCHES AND USE OF RESTRAINTS
